Sexe	age	Chaussures	sacados	feder	anios_pract	numer_3000	boussole/GPS	Radio/Tel	TrousSecours	id_proc	Origine	Destination
H	53	4	1	1	30	5	1	1	1	PV	Espagne	Aneto
H	43	3	1	0	20	10	1	1	0	CT	Espagne	Aneto
M	33	3	0	1	10	10	1	1	1	M	Espagne	Aneto
H	33	3	1	1	10	10	1	1	1	M	Espagne	Aneto
H	28	3	1	0	4	2	1	1	0	CT	Espagne	Aneto
H	28	3	1	0	4	1	1	1	0	CT	Espagne	Aneto
H	28	3	1	0	4	1	1	1	0	CT	Espagne	Aneto
H	28	4	1	0	4	25	1	1	0	PV	Espagne	Aneto
H	28	4	1	1	4	40	1	0	0	AR	Espagne	Aneto
H	28	4	1	0	4	2	1	1	1	VC	Espagne	Aneto
H	28	2	1	0	4	2	1	1	1	VC	Espagne	Aneto
H	28	3	1	0	4	4	0	0	1	PV	Espagne	Aneto
H	28	3	1	0	4	2	0	0	1	PV	Espagne	Aneto
H	28	3	1		4	2	1	1	1	VC	Espagne	Aneto
H	48	3	1		24	4	1	1	1	VC	Espagne	Aneto
H	33	3	1	1	9	7	0	1	0	PV	Espagne	Aneto
M	28	3	1	0	4	2	1	1	0	CT	Espagne	Aneto
H	28	3	1	1	4	2	0	1	1	CT	Espagne	Aneto
H	28	3	1	1	4	2	0	1	1	CT	Espagne	Aneto
H	28	3	1	1	4	2	0	1	1	CT	Espagne	Aneto
H	28	3	1	1	4	2	0	1	1	CT	Espagne	Aneto
H	28	4	1	0	4	5	1	0	0	AR	Espagne	Aneto
M	28	3	1	1	4	1	1	0	1	CL	Espagne	Aneto
H	28	3	1	0	4	2	1	1	1	VC	Espagne	Aneto
H	28	4	1	1	3	3	1	1	1	VC	Espagne	Aneto
H	28	3	1	0	3	2	0	1	1	AS	Espagne	Aneto
H	28	4	1	1	3	2	0	0	0	PV	Espagne	Aneto
H	28	3	1	0	3	2	0	0	0	PV	Espagne	Aneto
M	28	3	1	0	3	2	0	0	0	PV	Espagne	Aneto
H	28	3	1	1	3	1	1	1	1	CL	Espagne	Aneto
H	28	4	1	1	3	5	1	1	1	CT	Espagne	Aneto
M	28	4	1	1	3	2	1	1	1	CT	Espagne	Aneto
H	33	4	1	0	8	3	0	0	1	VC	Espagne	Aneto
H	33	4	1	0	8	4	1	0	1	CZE	Autre pays	Aneto
H	48	4	1	1	23	20	0	0	1	CT	Espagne	Aneto
H	28	2	1	0	3	1	0	0	0	CT	Espagne	Aneto
